Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584542904475625;0.107925;-0
1584542904673871;0.121169;0.0719785
1584542901976078;0.121757;-0
1584542902674047;0.0217441;-0
1584542902775615;0.0217441;-0
1584542902875941;0.0213225;-0
1584542902973341;0.0213225;-0
1584542903073559;0.0213225;-0
1584542903173470;0.0213225;-0
1584542903275335;0.0213225;-0
1584542903373892;0.0213225;-0
1584542903473243;0.0213225;-0
1584542903573217;0.0213225;-0
1584542903676744;0.0213225;-0
1584542903775273;0.0213225;-0
1584542903873423;0.0213225;-0
1584542903973577;0.0225871;-0
1584542904073153;0.024694;-0
1584542904173174;0.0318484;-0
1584542904275508;0.0366792;-0
1584542904373184;0.028273;-0
1584542904475625;0.107925;-0
1584542904573379;0.118812;-0
1584542904673871;0.121169;0.0719785
1584542904775115;0.121757;0.0719785
1584542904873158;0.121561;0.0719785
1584542904978991;0.116646;0.0719785
1584542905073144;0.1119;0.0719785
1584542905173099;0.106928;0.0719785
1584542905279460;0.100526;0.0719785
1584542905376973;0;0.0749791
1584542905473325;0.147942;0.149949
1584542905572814;0.138619;0.149949
1584542905673642;0.123519;0.131955
1584542905775478;0.0851538;0.0929737
1584542905872995;0.103532;0.0659773
1584542905972813;0.019425;0.0599851
1584542906072914;0.0542408;0.0569845
1584542906175966;0.00844998;0.0569845
1584542906275501;0.0916533;0.0749791
1584542906373155;0.0575686;0.0749791
1584542906472786;0.129751;0.0779797
1584542906572935;0.117434;0.0779797
1584542906673772;0.104932;0.0779797
1584542906774913;0.0904375;0.0779797
1584542906872686;0.0716357;0.101967
1584542906972834;0.147186;0.11396
1584542907072776;0.14244;0.110968
1584542907172555;0.135162;0.11396
1584542907274935;0.12742;0.110968
1584542907372737;0.117237;0.110968
1584542907472599;0.104532;0.110968
1584542907573295;0.088002;0.110968
1584542907676450;0.0542408;0.110968
1584542907775069;0.00443662;-0
1584542907872893;-0.0318484;-0
1584542907972860;-0.0730762;-0
1584542908072412;-0.0859683;-0
