Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584543156124496;0;0
1584543156226583;0;-0
1584543156324612;0.242875;-0
1584543153026567;-0.00654905;-0
1584543153527171;-0.0341598;-0
1584543153627059;-0.0341598;-0
1584543153726937;-0.0341598;-0
1584543153824849;-0.0341598;-0
1584543153924685;-0.0341598;0.0150029
1584543154024633;-0.0341598;0.0749791
1584543154125140;-0.0337397;0.0749791
1584543154226883;-0.0345798;0.0659773
1584543154324615;-0.0354198;0.0659773
1584543154427245;-0.0354198;0.0629856
1584543154524661;0.0320586;0.0629856
1584543154625490;0.0320586;0.0659773
1584543154726542;0.0320586;0.0659773
1584543154824699;0.0320586;0.0659773
1584543154924791;0.0320586;0.0659773
1584543155024622;0.031428;0.0659773
1584543155124660;0.0303767;0.0659773
1584543155230154;0.0274312;0.0659773
1584543155324559;0.0225871;0.0659773
1584543155424526;0.0152059;0.0239958
1584543155524320;0.00676027;-0
1584543155625483;0.000422549;-0
1584543155726937;-0.00253527;-0
1584543155824256;-0.00253527;-0
1584543155924467;-0.00338033;-0
1584543156027088;-0.00507037;-0
1584543156124496;0;-0
1584543156226583;0;-0
1584543156324612;-0.0825028;-0
1584543156425245;-0.00654905;-0
1584543156524355;-0.00802757;-0
1584543156624896;-0.00992828;-0
1584543156726057;-0.012462;-0
1584543156827240;-0.0135175;-0
1584543156924110;-0.0425484;-0
1584543157024046;-0.0190033;-0
1584543157124190;-0.0187924;-0
1584543157225964;-0.0236407;-0
1584543157323968;-0.028273;-0
1584543157424131;-0.0331094;-0
1584543157523936;-0.0391962;-0
1584543157624792;-0.0761577;-0
1584543157726186;-0.0431764;-0
1584543157823950;-0.098516;-0
1584543157923955;-0.0958974;-0
1584543158024150;-0.0932721;-0
1584543158123962;-0.0904375;-0.0329798
1584543158225965;-0.0869856;-0.0809625
1584543158324029;-0.126446;-0.0809625
1584543158423960;-0.119009;-0.0809625
1584543158523887;-0.10613;-0.0809625
1584543158625049;-0.0896263;-0.0809625
1584543158725863;0;-0.0809625
1584543158823937;0;-0.0809625
1584543158923935;-0.0960991;-0.0809625
1584543159023732;-0.074926;-0.0809625
1584543159123900;-0.126446;-0.0809625
1584543159226086;-0.113683;-0.0809625
1584543159323608;-0.0989183;-0.0779708
1584543159424094;-0.143772;-0.0809625
1584543159523941;-0.188289;-0.0809625
1584543159624597;-0.126057;-0.0899643
