Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584543403776207;-0.0769783;-0.0209863
1584543403976735;-0.051741;-0.0209863
1584543401076709;-0.0490293;-0.0209863
1584543401178718;-0.0490293;-0
1584543401276965;-0.0987172;-0
1584543401377276;-0.0987172;-0
1584543401476958;-0.0987172;-0
1584543401580290;-0.0987172;-0
1584543401679196;-0.0987172;-0
1584543401776777;-0.0987172;-0
1584543401876734;-0.0987172;-0
1584543401977398;-0.0987172;-0.014994
1584543402077358;-0.0987172;-0.014994
1584543402179635;-0.0987172;-0.014994
1584543402276515;-0.0987172;-0.014994
1584543402379030;-0.0989183;-0.014994
1584543402477580;-0.0993204;-0.0179858
1584543402577043;-0.100325;-0.0179858
1584543402678372;-0.101128;-0.0179858
1584543402776612;-0.0987172;-0.0179858
1584543402876520;-0.0938785;-0.0179858
1584543402976657;-0.0773883;-0.014994
1584543403076847;-0.117828;-0.014994
1584543403178710;-0.0782081;-0.0179858
1584543403276317;-0.0777983;-0.0209863
1584543403376436;-0.0782081;-0.0209863
1584543403476276;-0.0777983;-0.0209863
1584543403576878;-0.0777983;-0.0209863
1584543403678345;-0.0780032;-0.0209863
1584543403776207;-0.0769783;-0.0209863
1584543403876220;-0.079232;-0.0209863
1584543403976735;-0.051741;-0.0209863
1584543404076539;-0.0490293;-0.0209863
1584543404178470;-0.0446411;-0.0209863
1584543404276278;-0.0387769;-0.0209863
1584543404376139;-0.0575686;-0.0209863
1584543404476661;-0.0307972;-0.0209863
1584543404576891;-0.0444319;-0.0209863
1584543404678060;-0.0396155;-0.0209863
1584543404776011;-0.0724591;-0.0209863
1584543404876257;-0.019425;-0.0209863
1584543404976332;-0.0884083;-0.0209863
1584543405075953;-0.0675119;-0.0239869
1584543405178436;-0.0662725;-0.0239869
1584543405276125;-0.0484029;-0.0359804
1584543405376138;0;-0.0719696
1584543405476129;0;-0.0719696
1584543405576852;-0.0892204;-0.0719696
1584543405677652;-0.0629623;-0.0719696
1584543405776443;-0.0143617;-0.0719696
1584543405875834;-0.104333;-0.0719696
1584543405975806;-0.0890175;-0.0719696
1584543406078633;-0.0600602;-0.0719696
1584543406177873;-0.122149;-0.0719696
1584543406275741;-0.110312;-0.0719696
1584543406375897;0.019425;-0.0719696
1584543406475694;-0.0814816;-0.116952
1584543406576420;-0.150017;-0.116952
1584543406677838;-0.141105;-0.116952
1584543406775743;-0.127225;-0.164934
1584543406878612;-0.196488;-0.179929
1584543406976092;-0.186703;-0.179929
1584543407075683;-0.17257;-0.218918
1584543407177703;-0.155082;-0.251907
1584543407275899;-0.13362;-0.191931
1584543407375504;-0.171663;-0.173936
1584543407475486;-0.155082;-0.176937
1584543407576361;-0.132461;-0.155942
1584543407682219;-0.0475675;-0.0779708
1584543407776431;-0.0471497;-0
1584543407876197;0.00549287;-0
1584543407975406;0.0534079;0.0779797
1584543408075420;-0.0337397;0.188939
1584543408177772;-0.0143617;-0
1584543408275465;-0.0312178;-0
1584543408375575;-0.0796413;-0
1584543408478606;-0.0352098;-0
1584543408576173;-0.0404538;-0
1584543408677866;-0.0477764;-0
1584543408775854;-0.0442227;-0
1584543408875259;-0.110511;-0
1584543408975594;-0.109915;-0.161934
1584543409075385;-0.108721;-0
1584543409178080;-0.0794367;-0
1584543409275443;-0.0461048;-0
1584543409375620;-0.0274312;-0
1584543409475361;-0.0183705;-0
1584543409575990;-0.0912482;-0
1584543409677523;0;-0.107959
1584543409775656;-0.0790273;-0
1584543409875065;0.0114064;-0
1584543409975452;0.0442227;-0
1584543410075068;0.0631694;0.0239958
1584543410177435;0.0806641;0.290888
1584543410275152;-0.00802757;0.290888
1584543410374967;0.00338033;-0
1584543410474931;0;-0
1584543410575782;-0.0238514;-0
1584543410680626;-0.0469408;-0.236913
1584543410775289;-0.051741;-0
1584543410875151;-0.0538244;-0
1584543410974928;-0.0345798;-0
1584543411075099;0.0143617;-0
1584543411177277;0.0571529;0.290888
1584543411274771;0.0960991;-0
1584543411374794;0.0341598;-0
1584543411478069;0.00591535;-0
1584543411575721;-0.0029578;-0
1584543411676912;-0.0130953;-0
1584543411774848;-0.00253527;-0
1584543411874816;-0.00274654;-0
1584543411974741;-0.00316907;-0
1584543412074815;-0.0232193;-0.14994
1584543412176921;-0.0515326;-0
1584543412278250;-0.0882052;-0
1584543412376105;-0.0360495;-0
1584543412474791;0.00485913;-0
1584543412575197;0.0183705;-0
1584543412677057;-0.0190033;-0
1584543412774711;-0.0133064;-0
1584543412875452;-0.0135175;-0
1584543412974843;0.0152059;-0
1584543413074816;0.0479853;-0
1584543413176729;-0.0608899;-0.0899643
1584543413274819;-0.0429671;-0
1584543413374646;-0.0202685;-0
1584543413474447;0.032479;-0
1584543413575337;-0.0890175;-0.0719696
1584543413677049;-0.0804596;-0.152941
1584543413774675;-0.062548;-0.206925
1584543413874615;-0.0223764;-0.206925
1584543413974257;-0.131688;-0.203924
1584543414074504;-0.10613;-0.203924
1584543414177091;-0.0617192;-0.203924
1584543414274210;-0.131688;-0.203924
1584543414374196;-0.103332;-0.200924
1584543414474602;-0.0559055;-0.200924
1584543414574815;0;-0.200924
1584543414676219;0;-0.200924
1584543414774528;-0.108124;-0.191931
1584543414874308;-0.074926;-0.191931
1584543414974031;0.00591535;-0
1584543415074286;0;-0
1584543415176123;0;-0
1584543415273964;-0.0559055;-0
1584543415374124;0.029956;-0
1584543415473957;0.0410824;-0
1584543415574750;0.0484029;-0
1584543415676197;0.0613046;-0
1584543415773836;0;-0
1584543415873822;0;-0
1584543415977202;0;-0
1584543416074025;0.0981136;0.158951
1584543416176059;0.0536162;-0
1584543416273943;0.0450594;-0
1584543416373731;0.0130953;-0
1584543416473708;-0.00633781;-0
1584543416574534;0.0190033;-0
1584543416675775;0.0529913;-0
1584543416773656;0.0642044;-0
1584543416873958;0.0534079;-0
1584543416973617;0.0408729;-0
1584543417073614;0.0249046;-0
1584543417175880;-0.0310075;-0.197923
1584543417273574;-0.0542408;-0
1584543417373618;-0.015628;-0
1584543417476942;0.0810729;-0
1584543417574548;0.025747;-0
1584543417675682;0.050907;-0
1584543417773782;0.0666857;0.290888
1584543417874101;0.062548;-0
1584543417973676;0.0904375;-0
1584543418073675;-0.0149949;-0
1584543418175615;-0.0265892;-0
1584543418273404;-0.0249046;-0.209925
1584543418373627;-0.0274312;-0
1584543418473828;-0.0141507;-0
1584543418574252;0.015628;-0
1584543418675835;0.00887237;-0
1584543418773323;-0.0335296;-0
1584543418873318;-0.00718272;-0.00599229
1584543418975926;0.0295354;-0
1584543419073817;-0.102932;-0
1584543419175414;-0.0965023;-0.00599229
1584543419273527;-0.0886114;-0.00899288
1584543419373214;-0.0773883;-0.0629768
1584543419473205;-0.148131;-0.128954
1584543419574004;-0.143962;-0.110959
1584543419675211;-0.130526;-0.104958
1584543419773196;-0.106729;-0.0929649
1584543419874048;-0.15171;-0.0899643
1584543419973432;-0.134969;-0.0899643
1584543420073430;-0.116251;-0.0899643
1584543420175612;-0.0954939;-0.0929649
1584543420273264;0;-0.0719696
1584543420373130;0;-0
1584543420475760;-0.166555;-0
1584543420573917;-0.0987172;-0
1584543420675032;-0.0884083;-0
1584543420773153;-0.155082;-0.0869637
1584543420872995;-0.152648;-0.239914
1584543420972909;-0.148697;-0.014994
1584543421073099;-0.135354;-0
1584543421174944;-0.1119;-0
1584543421275457;-0.163063;-0.119952
1584543421373385;-0.163615;-0.116952
1584543421473269;-0.162509;-0.116952
1584543421573703;-0.149075;-0.116952
1584543421675393;-0.133234;-0.116952
1584543421772792;-0.162878;-0.116952
1584543421872800;0;-0.116952
1584543421972963;-0.134198;-0.113951
1584543422072722;-0.116449;-0.110959
1584543422174397;-0.0948885;-0.110959
1584543422272896;-0.145291;-0.0929649
1584543422372679;-0.129557;-0.0659685
1584543422472858;-0.110709;-0
1584543422573576;-0.0892204;-0
1584543422674338;0;-0
1584543422772627;0;-0
1584543422872780;0;-0.122953
1584543422972877;-0.118812;-0
1584543423072677;-0.112891;-0
1584543423175106;-0.0938785;-0.00599229
1584543423272866;0;-0.215918
1584543423372525;0;-0
1584543423472857;0;-0
1584543423576348;0;-0
1584543423674489;-0.0761577;-0
1584543423772772;0;-0
1584543423872496;0;-0
1584543423972388;-0.0122509;-0
1584543424072567;-0.0249046;-0
1584543424175115;-0.0433857;-0
1584543424272562;0.0741042;-0
1584543424375038;-0.00211273;-0
1584543424472298;0.0417108;-0
1584543424573146;0.0617192;-0
1584543424674225;0.0534079;0.0509833
1584543424772782;0.141677;0.0659773
1584543424872598;0.145481;0.0749791
1584543424972384;0.142821;0.0929737
1584543425072155;0.135354;0.0869726
1584543425173901;0.195276;0.0689779
1584543425272538;0.187585;0.0689779
1584543425372589;0.172207;0.0689779
1584543425472068;0.164903;0.0689779
1584543425572869;0.167104;0.0689779
1584543425673725;0.148131;0.0689779
1584543425772051;0.134584;0.0689779
1584543425872764;0.121561;0.0689779
1584543425971966;0.107327;0.0719785
1584543426072338;0.123519;0.0689779
1584543426173748;0.110113;0.0689779
1584543426271980;0.0341598;0.0719785
1584543426371884;-0.0469408;0.0689779
1584543426472161;-0.115462;-0
1584543426572621;-0.0670989;-0.0479827
1584543426673498;-0.0794367;-0.14694
1584543426772283;-0.0777983;-0.134946
1584543426871976;-0.147942;-0.128954
1584543426972452;-0.1367;-0.128954
1584543427071949;-0.115067;-0.128954
1584543427173790;0;-0.128954
1584543427275665;0;-0.107959
1584543427372201;0;-0.104958
1584543427471993;0;-0.104958
1584543427572353;0;-0.104958
1584543427673668;0;-0.104958
1584543427771687;0;-0.0959654
1584543427871849;0;-0
1584543427972033;0;-0
1584543428071643;0;-0
1584543428173468;0;-0
1584543428271716;0;-0.0929649
1584543428372046;-0.129945;-0.0929649
1584543428471706;0;-0.0929649
1584543428572332;0;-0.0929649
1584543428673479;0;-0.125954
1584543428771892;0;-0.191931
1584543428871687;0;-0.287896
1584543428972102;0;-0.290888
1584543429072166;0;-0.173936
1584543429173799;0;-0
1584543429272316;-0.0732819;-0
1584543429371314;-0.0932721;-0
1584543429471458;-0.0814816;-0
1584543429572106;-0.0829111;-0
1584543429673331;-0.0845426;-0
1584543429771610;0.0417108;-0
1584543429871566;-0.0467318;-0
1584543429971236;-0.0438042;-0
1584543430071397;-0.0421296;-0
1584543430177250;-0.0389866;-0
1584543430271284;-0.0356297;-0
1584543430371277;-0.0322688;-0
1584543430471418;-0.0097171;-0
1584543430571653;-0.00422537;-0
1584543430673681;0.000845098;-0
1584543430771247;-0.0141507;-0
1584543430870936;-0.00528162;-0
1584543430973979;-0.0425484;-0
1584543431072197;-0.0177377;-0
