Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584543401580290;-0.0715854;0
1584543401679196;-0.0715854;-0
1584543401776777;-0.0715854;-0
1584543401876734;-0.0715854;-0
1584543401977398;-0.0715854;-0.014994
1584543402077358;-0.0715854;-0.014994
1584543402179635;-0.0715854;-0.014994
1584543402276515;-0.0715854;-0.014994
1584543402379030;-0.0717312;-0.014994
1584543402477580;-0.0720228;-0.0179858
1584543402577043;-0.0727513;-0.0179858
1584543402678372;-0.0733335;-0.0179858
1584543402776612;-0.0715854;-0.0179858
1584543402876520;-0.0680767;-0.0179858
1584543402976657;-0.0561187;-0.014994
1584543403076847;-0.0854439;-0.014994
1584543403178710;-0.0567131;-0.0179858
1584543403276317;-0.0564159;-0.0209863
1584543403376436;-0.0567131;-0.0209863
1584543403476276;-0.0564159;-0.0209863
1584543403576878;-0.0564159;-0.0209863
1584543403678345;-0.0565645;-0.0209863
1584543403776207;-0.0558213;-0.0209863
1584543403876220;-0.0574556;-0.0209863
1584543403976735;-0.0375204;-0.0209863
1584543404076539;-0.0355539;-0.0209863
1584543404178470;-0.0323718;-0.0209863
1584543404276278;-0.0281193;-0.0209863
1584543404376139;-0.0417462;-0.0209863
1584543404476661;-0.0223328;-0.0209863
1584543404576891;-0.0322201;-0.0209863
1584543404678060;-0.0287274;-0.0209863
1584543404776011;-0.0525442;-0.0209863
1584543404876257;-0.0140862;-0.0209863
1584543404976332;-0.0641099;-0.0209863
1584543405075953;-0.0489567;-0.0239869
1584543405178436;-0.0480579;-0.0239869
1584543405276125;-0.0350997;-0.0359804
1584543405376138;0;-0.0719696
1584543405476129;0;-0.0719696
1584543405576852;-0.0646988;-0.0719696
1584543405677652;-0.0456575;-0.0719696
1584543405776443;-0.0104145;-0.0719696
1584543405875834;-0.0756574;-0.0719696
1584543405975806;-0.0645516;-0.0719696
1584543406078633;-0.043553;-0.0719696
1584543406177873;-0.0885771;-0.0719696
1584543406275741;-0.0799935;-0.0719696
1584543406375897;0.0140862;-0.0719696
1584543406475694;-0.059087;-0.116952
1584543406576420;-0.108786;-0.116952
