Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584543601538678;0.016875;0
1584543602240532;0;-0
1584543602340623;0;-0
1584543602438522;0;-0
1584543602539485;0;-0
1584543602641277;0;-0
1584543602737980;0;-0
1584543602837932;0;-0
1584543602937746;0;-0
1584543603037657;0;-0
1584543603144095;0;-0
1584543603240807;0;-0
1584543603337661;0.0542812;-0
1584543603437809;0.0658313;-0
1584543603538544;0.0696244;-0
1584543603639600;0.0710904;-0
1584543603737793;0;-0
1584543603837501;0;-0
1584543603937598;0;-0
1584543604040350;0.0728428;-0
1584543604140075;0.0753372;-0
1584543604237823;0.0783824;-0
1584543604337644;0.0842178;-0
1584543604437705;0.0922028;-0
1584543604538070;0.103786;-0
1584543604639546;0.0270703;-0
1584543604737739;0.031875;-0
1584543604840101;0.05625;0.0329887
1584543604937965;0.0630469;0.0809714
1584543605037302;0.0691377;0.125962
1584543605139348;0.0676837;0.173945
1584543605237422;0.0595366;0.0929737
1584543605337238;0.045444;0.0779797
1584543605437522;0.066974;0.0239958
1584543605538240;0.06;0.0179946
1584543605643226;0.0567188;0.0209952
1584543605737754;0.0551465;0.0209952
1584543605837370;0.0520498;0.0749791
1584543605937452;0.0473474;0.083972
1584543606037416;0.0423273;0.0150029
1584543606139769;0.0329462;0.00900175
1584543606237049;0.0834522;0.0120023
1584543606337265;0.0981118;0.0569845
1584543606439417;0.103166;0.098966
1584543606538861;0.104026;0.125962
1584543606639140;0.100511;0.125962
1584543606737260;0.0912528;0.128963
1584543606837061;0;0.128963
1584543606936887;0;0.128963
1584543607037208;0.1016;0.128963
1584543607139115;0.0930563;0.125962
1584543607237076;0.0786806;0.0809714
1584543607337001;0.0596022;0.0719785
1584543607437062;0.0932537;0.0749791
1584543607537436;0.0956382;0.0749791
1584543607639169;0.0889708;0.11396
1584543607736785;0.077619;0.11396
1584543607836792;0.118838;0.116961
1584543607936984;0.122509;0.170945
1584543608036719;0.112946;0.140956
1584543608138865;0.09646;0.122962
