Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584543044945957;0.0208594;0
1584543045046597;0.0201563;-0
1584543045149389;0.0638672;-0
1584543043346066;0.0660938;-0
1584543044145938;0.0295313;-0
1584543044248348;0.0295313;-0
1584543044349014;0.0298828;-0
1584543044445909;0.0298828;-0
1584543044545830;0.0304688;-0
1584543044646957;0.0214453;-0
1584543044747818;0.0210938;-0
1584543044845795;0.0210938;-0
1584543044945957;0.0208594;-0
1584543045046597;0.0201563;-0
1584543045149389;0.0638672;-0
1584543045247983;0.0660938;-0
1584543045345771;0.0786773;-0
1584543045445692;0.0817962;-0
1584543045545908;0.0814193;0.0509833
1584543045646290;0.0808141;0.0779797
1584543045747715;0.0786638;0.0629856
1584543045845870;0.0721124;0.0629856
1584543045945571;0;0.0599851
1584543046045592;0.10985;0.0599851
1584543046146053;0.11707;0.0629856
1584543046247654;0.113986;0.0599851
1584543046345494;0.107647;0.0629856
1584543046445878;0.100823;0.0599851
1584543046545911;0.0920492;0.0629856
1584543046649756;0.125347;0.0629856
1584543046747832;0.132055;0.0629856
1584543046845697;0.129473;0.0629856
1584543046945551;0.123941;0.0809714
1584543047045621;0.159032;0.0959743
1584543047145330;0.164473;0.0929737
1584543047247562;0.160035;0.0959743
1584543047345745;0.151649;0.116961
1584543047448977;0.140438;0.137956
1584543047545844;0.171691;0.0719785
1584543047646347;0.170075;0.0629856
1584543047747604;0.15827;0.0629856
1584543047845561;0.190987;0.0629856
1584543047945544;0.198176;0.134955
1584543048045230;0.198037;0.134955
1584543048145195;0.193237;0.134955
1584543048252226;0.179164;0.134955
1584543048345883;0.160505;0.131955
1584543048445385;0;0.131955
1584543048545503;0;0.134955
1584543048645857;0.139485;0.134955
1584543048747544;0.117101;0.0599851
1584543048845223;0.0928311;-0
1584543048945060;0.0501563;-0.287896
1584543049045391;0.0479496;-0
1584543049145130;0;-0
1584543049247735;0.0485837;-0
1584543049345288;0.0457031;0.278903
1584543049445107;0.0505102;0.290888
1584543049545114;0.0239063;-0
1584543049645613;-0.00623204;-0
1584543049747678;-0.0339767;-0
1584543049844882;-0.0432844;-0.290888
1584543049945066;-0.0424674;-0.290888
1584543050045019;-0.0384488;-0
1584543050144796;0;-0
1584543050247337;0;-0.0659685
1584543050345046;-0.0652979;-0.122953
1584543050444744;-0.0697433;-0
1584543050544737;-0.0602488;-0.0569756
