Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584543403776207;-0.0428906;0
1584543403976735;-0.0285938;-0.0209863
1584543401076709;-0.0270703;-0.0209863
1584543401178718;-0.0270703;-0
1584543401276965;-0.0554297;-0
1584543401377276;-0.0554297;-0
1584543401476958;-0.0554297;-0
1584543401580290;-0.0554297;-0
1584543401679196;-0.0554297;-0
1584543401776777;-0.0554297;-0
1584543401876734;-0.0554297;-0
1584543401977398;-0.0554297;-0.014994
1584543402077358;-0.0554297;-0.014994
1584543402179635;-0.0554297;-0.014994
1584543402276515;-0.0554297;-0.014994
1584543402379030;-0.0555469;-0.014994
1584543402477580;-0.0557812;-0.0179858
1584543402577043;-0.0563672;-0.0179858
1584543402678372;-0.0568359;-0.0179858
1584543402776612;-0.0475172;-0.0179858
1584543402876520;-0.0407841;-0.0179858
1584543402976657;-0.043125;-0.014994
1584543403076847;-0.0575215;-0.014994
1584543403178710;-0.0435938;-0.0179858
1584543403276317;-0.0433594;-0.0209863
1584543403376436;-0.0435938;-0.0209863
1584543403476276;-0.0433594;-0.0209863
1584543403576878;-0.0433594;-0.0209863
1584543403678345;-0.0434766;-0.0209863
1584543403776207;-0.0428906;-0.0209863
1584543403876220;-0.0144141;-0.0209863
1584543403976735;-0.0285938;-0.0209863
1584543404076539;-0.0270703;-0.0209863
1584543404178470;-0.0246094;-0.0209863
1584543404276278;-0.0213281;-0.0209863
1584543404376139;-0.00906445;-0.0209863
1584543404476661;0.00511465;-0.0209863
1584543404576891;-0.0244922;-0.0209863
1584543404678060;-0.0217969;-0.0209863
1584543404776011;-0.01875;-0.0209863
1584543404876257;0.00295547;-0.0209863
1584543404976332;-0.0215407;-0.0209863
1584543405075953;-0.0375;-0.0239869
1584543405178436;-0.0367969;-0.0239869
1584543405276125;-0.0342188;-0.0359804
1584543405376138;0;-0.0719696
1584543405476129;0;-0.0719696
1584543405576852;-0.0373688;-0.0719696
1584543405677652;-0.0237122;-0.0719696
1584543405776443;-0.000583978;-0.0719696
1584543405875834;-0.039583;-0.0719696
1584543405975806;-0.038814;-0.0719696
1584543406078633;-0.0229973;-0.0719696
1584543406177873;-0.0610726;-0.0719696
1584543406275741;-0.0626515;-0.0719696
1584543406375897;0.000859237;-0.0719696
1584543406475694;-0.020611;-0.116952
1584543406576420;-0.0841458;-0.116952
1584543406677838;-0.0954953;-0.116952
1584543406775743;-0.0870877;-0.164934
1584543406878612;-0.146253;-0.179929
1584543406976092;-0.154815;-0.179929
1584543407075683;-0.144423;-0.218918
1584543407177703;-0.125719;-0.251907
1584543407275899;-0.101569;-0.191931
1584543407375504;-0.127628;-0.173936
1584543407475486;-0.120681;-0.176937
1584543407576361;-0.099073;-0.155942
1584543407682219;-0.0600406;-0.0779708
1584543407776431;-0.0260156;-0
1584543407876197;0.00328125;-0
1584543407975406;0.0297656;0.0779797
1584543408075420;0.0029496;0.188939
1584543408177772;0.00245167;-0
1584543408275465;-0.00426021;-0
1584543408375575;-0.0256331;-0
1584543408478606;-0.0193359;-0
1584543408576173;-0.0222656;-0
1584543408677866;-0.0263672;-0
