Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584543156027088;0;0
1584543156124496;0;-0
1584543153026567;0;-0
1584543153527171;0.0867188;-0
1584543153627059;0.0867188;-0
1584543153726937;0.0867188;-0
1584543153824849;0.0867188;-0
1584543153924685;0.0867188;0.0150029
1584543154024633;0.0867188;0.0749791
1584543154125140;0.0868828;0.0749791
1584543154226883;0.0866039;0.0659773
1584543154324615;0.0861921;0.0659773
1584543154427245;0.0860686;0.0659773
1584543154524661;0.0180469;0.0659773
1584543154625490;0.0180469;0.0659773
1584543154726542;0.0180469;0.0659773
1584543154824699;0.0180469;0.0659773
1584543154924791;0.0180469;0.0659773
1584543155024622;0.0176953;0.0659773
1584543155124660;0.0171094;0.0659773
1584543155230154;0.0154688;0.0659773
1584543155324559;0.0127734;0.0659773
1584543155424526;0.00867188;0.0239958
1584543155524320;0.00398438;-0
1584543155625483;0.00046875;-0
1584543155726937;-0.00117188;-0
1584543155824256;-0.00117188;-0
1584543155924467;-0.00164063;-0
1584543156027088;0;-0
1584543156124496;0;-0
1584543156226583;0;-0
1584543156324612;-0.0160289;-0
1584543156425245;-0.00339844;-0
1584543156524355;-0.00421875;-0
1584543156624896;-0.00527344;-0
1584543156726057;-0.00667969;-0
1584543156827240;-0.00726563;-0
1584543156924110;-0.00867188;-0
1584543157024046;-0.0103125;-0
1584543157124190;-0.0128906;-0
1584543157225964;-0.0128906;-0
1584543157323968;-0.0154688;-0
1584543157424131;-0.0181641;-0
1584543157523936;-0.0215625;-0
1584543157624792;-0.0170262;-0
1584543157726186;-0.0237891;-0
1584543157823950;-0.0363152;-0
1584543157923955;-0.0379403;-0
1584543158024150;-0.036295;-0
1584543158123962;-0.0335045;-0.0329798
1584543158225965;-0.0298783;-0.0809625
1584543158324029;-0.0612748;-0.0809625
1584543158423960;-0.0644594;-0.0809625
1584543158523887;-0.0547507;-0.0809625
1584543158625049;-0.038385;-0.0809625
1584543158725863;0;-0.0809625
1584543158823937;0;-0.0809625
1584543158923935;-0.0387252;-0.0809625
1584543159023732;-0.0234055;-0.0809625
1584543159123900;-0.059333;-0.0809625
1584543159226086;-0.0594471;-0.0809625
1584543159323608;-0.0473408;-0.0779708
1584543159424094;-0.0812792;-0.0809625
1584543159523941;-0.131328;-0.0809625
1584543159624597;-0.0913816;-0.0899643
1584543159725498;-0.0707023;-0.0899643
1584543159823916;-0.114538;-0.0929649
1584543159923893;-0.122602;-0.0989571
1584543160023702;-0.119608;-0.0989571
1584543160123880;-0.112147;-0.113951
1584543160225528;-0.170119;-0.152941
1584543160323703;-0.182589;-0.155942
1584543160426724;-0.178455;-0.167935
1584543160523644;-0.166059;-0.218918
1584543160624063;-0.149707;-0.248906
1584543160726031;-0.129872;-0.245906
1584543160823369;0;-0.215918
1584543160923305;-0.135242;-0.179929
1584543161023901;-0.096001;-0.182929
1584543161123679;-0.092596;-0.170936
1584543161230099;-0.0751682;-0.0929649
1584543161324087;-0.0469922;-0
1584543161423220;-0.0229688;-0
1584543161523282;-0.00445312;-0
1584543161624367;0;0.0749791
1584543161725378;-0.00877616;0.0599851
1584543161823435;-0.00416682;-0
1584543161923272;-0.00508091;-0
1584543162023121;-0.00814419;-0
1584543162123252;0.00503906;-0
1584543162225450;0.00445312;-0
1584543162323322;0.00386719;-0
1584543162423001;0.0175582;-0
1584543162523582;-0.0160689;-0
1584543162623600;-0.0243523;-0
1584543162725145;-0.0250327;-0
1584543162823317;-0.00421875;-0
1584543162922881;-0.00644531;-0
1584543163022852;-0.00832031;-0
1584543163123027;-0.00867188;-0
1584543163225186;-0.00890625;-0
1584543163322807;0.00530156;-0
1584543163422946;-0.0283345;-0
1584543163522727;-0.0130078;-0
