Timestamp;PredictedSteeringAngle;ActualSteeringAngle
1584543604737739;0.0886114;-0
1584543604840101;0.0993204;0.0329887
1584543601538678;0.110908;0.0809714
1584543602240532;0;-0
1584543602340623;0;-0
1584543602438522;0;-0
1584543602539485;0;-0
1584543602641277;0;-0
1584543602737980;0;-0
1584543602837932;0;-0
1584543602937746;0;-0
1584543603037657;0;-0
1584543603144095;0;-0
1584543603240807;0;-0
1584543603337661;-0.0633765;-0
1584543603437809;-0.062548;-0
1584543603538544;-0.0617192;-0
1584543603639600;-0.0608899;-0
1584543603737793;0;-0
1584543603837501;0;-0
1584543603937598;0;-0
1584543604040350;-0.0575686;-0
1584543604140075;-0.0525747;-0
1584543604237823;-0.0467318;-0
1584543604337644;-0.0341598;-0
1584543604437705;-0.0181596;-0
1584543604538070;0.00549287;-0
1584543604639546;0.0481941;-0
1584543604737739;0.0886114;-0
1584543604840101;0.0993204;0.0329887
1584543604937965;0.110908;0.0809714
1584543605037302;0.112296;0.125962
1584543605139348;0.108323;0.173945
1584543605237422;0.0989183;0.0929737
1584543605337238;0.0845426;0.0779797
1584543605437522;0.116054;0.0239958
1584543605538240;0.107327;0.0179946
1584543605643226;0.100124;0.0209952
1584543605737754;0.0987172;0.0209952
1584543605837370;0.0954939;0.0749791
1584543605937452;0.0908429;0.083972
1584543606037416;0.0863754;0.0150029
1584543606139769;0.0741042;0.00900175
1584543606237049;0.0496554;0.0120023
1584543606337265;0.140532;0.0569845
1584543606439417;0.141296;0.098966
1584543606538861;0.140532;0.125962
1584543606639140;0.136124;0.125962
1584543606737260;0.126446;0.128963
1584543606837061;0.111106;0.128963
1584543606936887;0;0.128963
1584543607037208;0.141868;0.128963
1584543607139115;0.128198;0.125962
1584543607237076;0.114078;0.0809714
1584543607337001;0.0960991;0.0719785
1584543607437062;0.143201;0.0749791
1584543607537436;0.134198;0.0749791
1584543607639169;0.125472;0.11396
1584543607736785;0.114276;0.11396
1584543607836792;0.166188;0.116961
1584543607936984;0.156388;0.170945
1584543608036719;0.144152;0.140956
1584543608138865;0.128198;0.122962
1584543608236804;0.0983148;0.110968
1584543608336699;0.0716357;0.0120023
1584543608436737;0.032479;-0
1584543608537539;0.0029578;-0
1584543608638886;0.0529913;-0
1584543608736934;0.0629623;-0
1584543608837139;0.0782081;-0
1584543608936872;0.0695753;-0
1584543609036593;0.0617192;-0
1584543609139285;0.05923;-0
1584543609236462;0.0668923;-0
1584543609336435;0.0730762;-0
1584543609436573;0.0757473;-0
1584543609537050;0.0621337;-0
1584543609638585;0.0225871;-0
1584543609736530;0.0267997;-0
1584543609836327;0.029956;-0
1584543609936351;0.0126731;-0
1584543610036535;0;-0
1584543610142650;-0.0912482;-0
1584543610236240;-0.0782081;-0
1584543610336514;-0.0804596;-0.0239869
1584543610436196;-0.0708119;-0.0239869
1584543610536843;-0.125862;-0.0779708
1584543610638469;-0.123519;-0.0779708
1584543610736399;-0.115264;-0.14994
1584543610836378;-0.10213;-0.116952
1584543610936345;-0.0814816;-0.116952
1584543611036135;0;-0.0419816
1584543611138309;-0.0629623;-0.0209863
1584543611236360;-0.028273;-0
1584543611336049;-0.0168939;-0
1584543611436259;-0.0274312;-0
1584543611537245;-0.0467318;-0
1584543611642414;0.0381478;-0
1584543611738809;0.0366792;-0
1584543611836445;0.0461048;0.0569845
1584543611935956;0.0606825;0.0569845
1584543612036423;0.0666857;0.0569845
1584543612138286;0.0387769;0.0779797
1584543612235802;0.119402;0.0779797
1584543612335811;0.110511;0.0779797
1584543612435952;0.0973083;0.0779797
1584543612539278;0.0790273;0.0629856
1584543612638563;0.0417108;0.0629856
1584543612736107;0.117237;0.0629856
1584543612835893;0.106729;0.0629856
1584543612936228;0.0948885;0.0629856
1584543613036198;0.0794367;0.0659773
1584543613137765;0.0500727;0.0659773
1584543613236147;0.0757473;0.0659773
1584543613336228;0;0.0659773
1584543613435615;0.0967039;0.0659773
1584543613536987;0.0802551;0.0659773
1584543613638647;0.0349998;0.0599851
1584543613735650;0.125667;0.0599851
1584543613835514;0.113485;0.0599851
1584543613935676;0.101328;0.0599851
1584543614035478;0.0859683;0.0629856
1584543614137498;0.050907;0.0929737
1584543614235969;0.117434;0.0929737
1584543614335878;0.104133;0.083972
1584543614435684;0.0822987;0.0719785
1584543614536572;0.124496;0.0629856
1584543614637577;0.10892;0.0749791
1584543614735649;0.0896263;0.122962
1584543614835899;0.135162;0.15295
1584543614935364;0;0.0689779
1584543615035709;0.0904375;0.0239958
1584543615137522;0.016472;0.0239958
1584543615235309;0.10653;0.0239958
1584543615335545;0.0952922;0.0209952
1584543615435456;0.0851538;0.0809714
1584543615535926;0.149829;0.107968
1584543615637446;0.148697;0.134955
1584543615835267;0.118419;0.170945
1584543615935304;0;0.170945
1584543616035319;0.0699876;0.170945
1584543616137393;0.0446411;0.161943
1584543616238022;-0.0312178;0.0209952
1584543616335535;0;-0
1584543616435093;0;-0
1584543616535743;-0.154521;-0
1584543616637001;-0.157134;-0.140948
1584543616735046;-0.160105;-0.290888
1584543616835079;-0.162325;-0.290888
1584543616935167;-0.148886;-0
1584543617034946;-0.131688;-0
1584543617136873;0;-0
1584543617235421;0;-0
1584543617335148;0;-0
1584543617434877;-0.119991;0.083972
1584543617535695;-0.118812;0.110968
1584543617636797;-0.0708119;-0
1584543617734833;-0.0782081;-0
1584543617834985;-0.0918558;-0
1584543617934791;-0.0963007;-0
1584543618034746;-0.100526;-0.18593
1584543618136840;-0.105332;-0.122953
1584543618234706;-0.112693;-0
1584543618334692;-0.0837271;-0
1584543618437432;-0.0429671;-0
1584543618536348;-0.019425;-0
1584543618636732;-0.0450594;0.15595
1584543618734878;-0.0458958;0.281904
1584543618834572;0.0421296;-0
1584543618934850;-0.0534079;-0
1584543619035132;-0.0973083;-0
1584543619136699;0;-0
1584543619237285;-0.115659;-0.197923
1584543619334789;-0.0835232;-0
1584543619434498;-0.0908429;-0
1584543619535354;-0.0486117;-0
1584543619636857;-0.0221656;-0
